timeA,gX,gY,gZ
105,13.69,-8.64,3.23
105.5,3.46,69.71,-11.01
106,10.02,43.93,-6.07
106.5,-9.19,-22.78,3.32
107,7.22,0.4,0.94
107.5,-4.81,-1.53,0.18
108,1.11,9.21,-0.6
108.5,10.27,18.43,-2.12
109,-12.26,16.2,-5.96
109.5,1.25,24.98,-4.51
110,6.46,20.97,-2.9
110.5,-0.76,-28.39,4.4
111,-5.32,-3.93,-0.8
111.5,-6.04,-41.57,5.1
112,-23.1,11.04,-6.66
112.5,-6.47,-8.25,-0.9
113,-15.2,-7.85,-3.42
113.5,7.2,-15.8,3.52
114,-0.52,10.37,-3.24
114.5,-0.02,7.78,0.87
115,21.83,-10.1,7.47
115.5,-5.86,-2,0.01
116,15.38,-4.4,2.03
116.5,15.68,4.75,1.7
117,-8.76,5.97,-3.23
117.5,-3.33,108.94,-20.05
118,12.82,-4.86,3.51
118.5,-12.36,-32.29,4.16
119,-1.52,6.36,-1.78
119.5,19.46,-0.04,4.12
120,-13.9,-31.54,3.09
120.5,5.42,13.8,-1.68
121,-6.65,32.17,-10.21
121.5,3.04,38.14,-6.87
122,-3.63,33.95,-6.98
122.5,12.05,1.53,1.72
123,19.28,6.39,2.28
123.5,-34.65,9.55,-7.6
124,5.39,-20.73,2.94
124.5,-2.86,15.17,-0.24
125,3.53,11.43,-0.68
125.5,16.03,-21.6,5.7
126,-5.49,-22.79,2.36
126.5,0.34,-6.88,-1.3
127,2.69,-10.25,1.47
127.5,11.18,-53.93,18.22
128,-10.81,-2.39,-3.07
128.5,-30.5,7.47,-8.76
129,15.97,17.43,0.07
129.5,4.45,-0.92,3.3
130,-11.97,-11.62,-0.3
130.5,1.22,-0.72,1.73
131,5.81,-15.66,4.75
131.5,12.96,4.19,1.2
132,-9.86,-0.23,0.27
132.5,-2.77,-3.89,0.55
133,-1.59,22.56,-4.19
133.5,10.2,-17.93,4.5
134,-12.19,-6.71,-1.92
134.5,4.64,0.09,2.17
135,2.39,-3.14,-0.1
135.5,16.47,-3.08,2.7
136,-3.47,-0.29,-1
136.5,-1.85,-0.32,-1.64
137,-0.43,-0.01,0.08
137.5,-0.45,0.08,-0.45
138,-0.31,0.27,-1.32
138.5,0.74,0.14,0.21
139,-0.11,0.04,-0.58
139.5,-1.52,-0.19,-0.16
140,-7.83,0.85,-1.87
140.5,0.62,-0.8,0.63
141,-2.72,-4.71,-0.45
141.5,-0.51,2.23,0.46
142,10.11,7.27,0.53
142.5,0.99,11.63,-2.39
143,-3.67,3.41,-3.03
143.5,4.97,-0.62,0.66
144,-4.87,-7.34,-0.68
144.5,0.27,0.93,-1.11
145,-2.61,-1.31,-0.04
145.5,-1.79,2.62,-0.34
146,-1.82,2.08,-1.16
146.5,10.3,3.97,0.39
147,3.2,-6.05,0.34
147.5,-3.73,0.88,-2.79
148,-2.86,-4.12,0.29
148.5,-0.52,-7.78,0.98
149,-3.64,-7.81,0.25
149.5,-3.34,-4.2,0.44
150,-21.2,-13.16,-0.78
150.5,-12.09,-13.4,1.33
151,-0.09,30.93,-4
151.5,6.87,10.76,-0.36
152,-0.23,-2.88,1.34
152.5,14.98,-49,9.75
153,12.27,7.07,-0.58
153.5,8.07,49.96,-9.27
154,23.06,43.88,-5.41
154.5,-1.83,23.34,-4.98
155,-5.22,-32.85,7.71
155.5,-9.8,-6.98,-1.15
156,7.79,25.92,-5.04
156.5,11.78,-11,5.22
157,2.1,-6.19,1.1
157.5,-4.82,1.51,-1.05
158,10.7,-13.17,5.49
158.5,1.52,2.67,0.66
159,-5.92,-3.85,-1.39
159.5,1.1,11.17,-1.9
160,-9.04,-0.06,-3.37
160.5,1.89,-5.22,1.31
161,-1.21,2.29,0.47
161.5,-1.96,0.02,0.19
162,4.36,25.68,-5.03
162.5,-7.2,12.13,-4.09
163,-2.72,4.88,-1
163.5,4.73,-4,0.2
164,3.15,-2.5,1.44
164.5,9.36,-0.94,2.94
165,7.17,17.65,-4.16
165.5,-1.21,7.34,-1.73
166,-1.45,-1.05,1.44
166.5,-1.3,4.55,-1.84
167,8.42,18.3,-1.16
167.5,11.66,7.85,-0.7
168,-4.88,-0.34,0.14
168.5,-1.85,9.08,-2.62
169,12.23,10.33,-0.64
169.5,-10.24,3.38,-0.18
170,0.23,0.87,0.45
170.5,1,4.5,-2.11
171,-0.22,-0.45,0.89
171.5,-2.76,10.27,-0.34
172,-0.86,1.46,-1.18
172.5,-0.47,3.65,-1.44
173,-13.93,21.42,-5.44
173.5,1.16,-6.21,0.52
174,-0.89,5.2,-2.81
174.5,6.9,4.18,1.43
175,-6.18,0.75,-1.06
175.5,-1.41,-2.47,-0.66
176,-0.11,-5.34,-0.41
176.5,-2.93,7.95,-2.29
177,2.36,-1.01,0.65
177.5,-1.07,1.72,-0.01
178,0.57,2.75,0.51
178.5,-3.46,0.4,0.12
179,-4.05,-2.96,-0.61
179.5,-4.61,-1.37,-1.11
180,6.23,2.49,2.45
180.5,9.91,1.64,2.03
181,-8.61,11.05,-4.14
181.5,-4.94,-1.25,-1
182,1.78,4.64,1.66
182.5,-1.97,-11.08,2.15
183,-5.53,-27.28,1.9
183.5,3.14,11.26,-0.14
184,-2.9,8.84,-2.21
184.5,-2.36,-3.49,-0.12
185,6.35,22.7,-3
185.5,-0.99,14.43,-1.36
186,0.45,13.1,-4.39
186.5,-8.24,0.76,-4.81
187,4.91,12.11,-0.59
187.5,-2.2,0.41,-0.27
188,-3.13,1.31,-0.94
188.5,5.24,-14.54,4.48
189,4.08,-5.76,3.43
189.5,-0.27,-5.3,1.96
190,4.27,-0.52,-0.17
190.5,5.8,5.2,-0.14
191,0.32,2.18,-0.66
191.5,-5.98,0.24,-2.71
192,-1.42,0.12,-3.74
192.5,-0.11,-1.95,-1.4
193,7.68,-1.19,3.62
193.5,6.31,-4.31,-0.31
194,-5.17,2.86,0.38
194.5,2.2,2.5,-0.05
195,-4.43,1.22,-1.49
195.5,-4.87,-2.48,0.13
196,-7.38,-12.79,2.26
196.5,-3.48,-3.82,0.11
197,-3.55,-1.71,-2.35
197.5,-0.43,-2.3,0.81
198,-15.05,1.99,-5.73
198.5,11.6,-15.18,1.82
199,-1.04,0.67,-1.18
199.5,-7.13,3.52,-1.67
200,16.05,-3.48,2.77
200.5,-8.21,-0.77,-1.31
201,12.08,-0.39,3.74
201.5,0.23,0.58,0.12
202,-0.27,0.11,-0.91
202.5,-1.54,1.14,-1.51
203,0.48,-1.8,0.6
203.5,-0.45,-0.23,0.18
204,1.94,-1.13,-0.38
204.5,-0.55,-0.22,-1.62
205,-0.52,0.01,-1.34
205.5,0.18,-1.38,0.3
206,0.78,-0.7,0.56
206.5,-0.12,3.21,-1.12
207,0.42,-2.75,-0.12
207.5,1.1,-0.89,-0.67
208,-1.65,-0.14,-1.51
208.5,2.34,-0.21,0.97
209,-1.43,-0.13,3.36
209.5,-0.2,0.91,0.15
210,0.9,-1.58,1.07
210.5,-1.09,-0.78,-1.46
211,0.23,-0.06,1.3
211.5,0.17,1.32,1.25
212,0.33,-1.65,0.24
212.5,-0.22,-0.32,-0.54
213,0.17,-0.08,0.61
213.5,0.29,0.48,-1.59
214,1.16,-1.24,1.02
214.5,-0.35,-0.2,0.4
215,-0.41,1.51,-0.19
215.5,0.14,0.58,0.22
216,-0.42,2.61,-0.08
216.5,0.59,-0.12,-0.14
217,0.27,-1.15,0.57
217.5,2.41,-3.68,1.66
218,1.14,-1.83,0.48
218.5,-2.56,3.43,-1.29
219,0.33,-1.85,0.56
219.5,0.18,-0.4,2.29
220,-0.16,1.77,-0.69
220.5,-0.46,-0.7,-0.41
221,-0.13,0.24,0.05
221.5,0.72,-1.01,-0.04
222,-0.11,-0.03,-0.46
222.5,0.63,-0.57,-0.42
223,-0.28,0.51,0.99
223.5,0.28,-1.48,-0.23
224,0.53,-0.17,-0.21
224.5,0.97,-2.18,1.44
225,0.41,-0.71,-0.46
225.5,-0.32,-0.25,0.16
226,-2.09,4.4,-1.79
226.5,-0.37,-1.66,-2.61
227,0.83,-2.06,-1.45
227.5,-0.3,-0.03,-1.1
228,1.44,-0.69,-1.11
228.5,-0.63,0.47,-0.54
229,0.64,-0.15,0.69
229.5,-0.04,-0.43,-2.74
230,0.08,-0.37,-3.1
230.5,0.55,-0.13,-0.44
231,-0.5,1.73,2.13
231.5,0.78,-0.19,0.17
232,-0.56,-0.74,1
232.5,0.67,-0.11,-1.28
233,0.29,0.03,1.32
233.5,-1.37,1.02,-0.09
234,-2.9,-0.48,-0.58
234.5,0.73,0.22,2.01
235,0.54,-0.96,1.77
235.5,1.48,2.37,-0.61
236,3.25,-0.8,0.22
236.5,-4.43,1.75,-1.25
237,3.18,2.58,-0.32
237.5,-1.11,0.3,0.21
238,1.39,1.08,-0.73
238.5,-0.75,0.07,-1.48
239,3.62,2.66,0.13
239.5,-8.41,-5.44,0.34
240,0.13,-0.46,0.35
240.5,-1.07,1.96,0.9
241,-10.84,-0.42,-0.7
241.5,-0.63,-0.18,-1.42
242,0.15,-2.68,0.77
242.5,1,-0.77,0.71
243,-3.54,3.74,0.76
243.5,7.86,-0.9,2.27
244,-4.58,-0.91,-0.78
244.5,8.11,5.06,-0.86
245,0.28,0.8,1.63
245.5,-4.31,-1.2,1.85
246,-3.37,-0.45,3.69
246.5,-1.33,-2.61,0.63
247,7.07,-3.55,2.12
247.5,-0.26,0.99,2.9
248,-2.43,-1.37,-1.36
248.5,-1.47,-0.92,4.16
249,0.64,5.73,2.08
249.5,0.12,4.51,-2.32
250,-0.72,-5.87,-1.83
250.5,3.9,9.83,-8.12
251,1.06,4.49,-3.38
251.5,-2.13,-1.97,-4.03
252,-1.75,2.23,-1.49
252.5,-0.45,0.09,-0.96
253,0.09,-4.68,1.21
253.5,3.17,5.08,-1.81
254,-1.6,-10.16,1.68
254.5,-0.24,-2.7,-0.57
255,-0.2,-0.05,-1.12
255.5,-2.85,-4.85,0.75
256,-4.76,-2.79,1.25
256.5,-0.51,-6.14,0.24
257,-0.43,-0.67,-2.16
257.5,1.09,0.87,-0.88
258,13.76,-1.79,1.67
258.5,3.54,0.71,0.44
259,-11.72,1.58,-1.12
259.5,-4.14,5.04,2.63
260,-1.13,1.8,-3.32
260.5,0.27,10.25,0.39
261,8.04,3.81,1.09
261.5,5.53,8.84,0.38
262,-2.24,4.04,0.44
262.5,8.32,-2.9,0.46
263,0.79,-3.27,0.76
263.5,-1.67,-0.44,-0.82
264,-2.2,13.67,1.06
264.5,3.42,5.54,0.26
265,0.43,-0.7,-2.85
265.5,0.49,-1.11,0.64
266,-7.94,8.22,-3.6
266.5,-1.17,4.86,0.29
267,2.09,5.21,-2.94
267.5,-5.42,0.65,0.96
268,0.21,-0.94,-3.9
268.5,0.06,-2.19,2.24
269,0.53,4.29,2.19
269.5,4.08,7.05,1.49
270,-0.56,6.33,-1.29
270.5,0.71,6.26,-1.81
271,-1.46,-1.57,2.28
271.5,1.13,-2,2.72
272,-1.94,-5.76,0.09
272.5,-10.32,0,-0.01
273,1.72,-5.8,1.21
273.5,1.42,-6.76,-0.43
274,3.11,-7.76,1.71
274.5,1.9,-4.18,-3.26
275,0.56,-5.26,-8.34
275.5,-3.8,-5.66,-4.47
276,1.92,1.75,14.43
276.5,4.17,11.6,-9.78
277,-2.93,-2.17,-7.13
277.5,-6.25,-0.05,-11.81
278,-0.34,2.57,-8.59
278.5,1.54,-8.02,-4.23
279,-1.16,-5.4,-2.22
279.5,-0.69,1.68,-2.32
280,6.76,-2.48,-2.28
280.5,0.92,-1.42,2.93
281,-0.15,2.29,-1.48
281.5,-0.93,-1.67,-0.33
282,-3.33,0.51,-1.84
282.5,-0.24,-19.28,0.34
283,-3.32,-5.44,1.85
283.5,4.91,-13.95,-1.1
284,4.58,-3.45,0.23
284.5,-6.11,-4.55,1.13
285,1.19,10.47,0.19
285.5,9.72,-1.34,0.84
286,3.08,0.3,-0.13
286.5,1.14,-4.26,2
287,-0.45,-3.9,-1.53
287.5,2.6,1.82,0.45
288,-2.69,3.12,0.79
288.5,-2.62,-4.11,-2.59
289,1.01,-5.51,-0.08
289.5,16.29,-6.37,6.14
290,-1.46,-2.47,2.91
290.5,1.09,11.75,0.35
291,1.7,-8.7,0.95
291.5,-8.18,-12.51,0.94
292,-5.54,5.14,-1.23
292.5,19.33,14.81,0.97
293,2.18,14.35,-3.6
293.5,20.81,-19.61,5.67
294,24.8,-4.71,1.34
294.5,-4.78,-6.17,-4.33
295,-5.36,5.44,-1.97
295.5,-0.67,-14.52,0.83
296,34.35,-9.86,6.93
296.5,-9.87,-4.88,2.19
297,-2.64,-7.43,2.62
297.5,2.34,-3.45,-2.08
298,-5.88,6.45,0.09
298.5,0.62,-9.4,-1.38
299,0.27,0.01,-1.75
299.5,-10.86,-3.37,-3.36
300,-6.19,-1.45,3.04
300.5,3.77,-10.45,1.19
301,5.89,-15.66,-1.59
301.5,-0.35,16.7,10.33
302,-1.44,-2.21,-2.19
302.5,-2.15,-1.81,-6.23
303,27.03,18.67,5.87
303.5,-6.96,-7.96,-2.17
304,4.49,-15.38,-1.06
304.5,4.11,-3.32,1.07
305,-3.48,1.86,0.44
305.5,0.05,-13.02,-0.77
306,5.34,-13.1,-0.6
306.5,-0.41,-3.89,2.93
307,-3.41,-7.19,1.08
307.5,4.34,5.81,-1.38
308,-3.59,7.25,3.26
308.5,-0.91,3.26,-2.32
309,3.3,-6.09,1.41
309.5,3.81,-4.56,1.51
310,-0.71,3.96,-5.1
310.5,-0.56,-3.51,2.18
311,-3.73,-3.55,1.36
311.5,9.35,-1.37,4.55
312,1.21,-2.63,2.12
312.5,2.39,8.94,-1.56
313,-2.71,6.56,-0.18
313.5,-8.56,3.8,-2.67
314,3.59,-5.02,0.85
314.5,-5.58,5.59,-0.24
315,-2.11,0.74,-1.72
315.5,-1.68,2.2,0.72
316,-2.1,0.84,-0.65
316.5,6.38,-9.78,2.92
317,0.63,3.15,0.39
317.5,0.98,-3.75,-0.17
318,2.68,-10.28,-0.11
318.5,-2.1,0.27,0.36
319,-0.02,1.14,-2.23
319.5,1.07,-6.77,-0.13
320,0.3,-6.84,0.23
320.5,4.65,1.23,-0.66
321,5.37,-3.36,1.43
321.5,-8.05,-11.55,0.59
322,4.11,1.17,1.08
322.5,-1.2,0.02,-8.01
323,7.27,-1.02,0.79
323.5,1.21,5.35,-2.5
324,-7.16,3.91,0.54
324.5,-0.88,13.45,-1.35
325,1.94,-6.23,1.45
325.5,-0.95,-2.48,2.58
326,-2.82,11.51,-2.16
326.5,-9.4,-6.27,2.64
327,2.31,-8.38,4.37
327.5,5.03,7.09,-0.15
328,-2,-6,0.46
328.5,2.22,-0.82,-1.66
329,-4.5,6.74,-0.18
329.5,1.94,-7.5,2.35
330,0.32,-2.32,-0.01
330.5,3.47,1.69,0.84
331,-4.13,8.4,0.09
331.5,1.56,8.19,-0.64
332,-4.11,-4.46,-0.83
332.5,-9.99,-4.78,0.11
333,1.08,-5.14,-0.8
333.5,-3.34,1.29,-2.11
334,10.62,-1.26,-0.47
334.5,-1.74,-4.77,-2.1
335,-4.27,2.47,-0.73
335.5,-1.22,1.7,-1.61
336,-3.9,-1.03,-1.23
336.5,1.94,-0.6,1.75
337,-1.83,2.69,-1.19
337.5,0.24,-1.39,0.28
338,0.14,-0.25,0.3
338.5,-8.1,0.46,-4.07
339,1.31,-1.08,-0.04
339.5,0.33,-0.42,-0.84
340,0.97,1.18,0.56
340.5,15.12,0.5,2.55
341,0.48,0.79,-1.01
341.5,0.15,-1.12,1.65
342,-0.65,0.57,-0.3
342.5,-0.1,-1.18,0.22
343,5.27,-0.35,0.78
343.5,0.23,-1.14,-3.31
344,0.45,0.27,-0.66
344.5,0.09,1.09,-0.05
345,2.82,-3.07,-0.52
345.5,2.82,2.39,-0.3
346,-1.96,-1.57,0.55
346.5,-0.82,0.61,-0.46
347,5.53,-4.26,-0.29
347.5,-2.36,0.9,-1.1
348,-6.49,13.77,-2.21
348.5,-4.27,7.07,-2.93
349,0.35,-5.23,0.75
349.5,-3.68,7.49,-2.39
350,-1.46,-6.11,3.79
350.5,-2.14,3.48,1.54
351,-1.17,-0.85,-1.1
351.5,13.97,9.36,2.38
352,-2.47,0.51,2.04
352.5,2.17,-4.04,4.14
353,-1.95,-4.31,1.09
353.5,-8.48,-6.18,0.26
354,1.22,-5.08,2.86
354.5,19.33,6.94,2.48
355,1.22,-0.26,-1.21
355.5,2.66,-0.54,0.67
356,3.38,8.92,1.43
356.5,-9.29,7.25,2.14
357,-3.55,19.27,0.22
357.5,-6.04,1.1,8.3
358,-1.82,-18.58,7.3
358.5,4.32,-0.24,4.06
359,2.25,5.4,1.78
359.5,2.07,-2.84,6.03
360,0.68,3.46,1.09
360.5,-7.82,-8.7,3.75
361,1.67,-8.62,5.08
361.5,5.96,-10.3,4.07
362,2.27,-0.94,0.46
362.5,-14.03,11.04,-3.07
363,-3.95,3.61,1.7
363.5,-7.23,-0.65,-1.71
364,5.6,5.53,-0.23
364.5,6.8,-4.35,0.56
365,5.93,-1.4,0.4
365.5,-2.53,-1.94,-0.73
366,4.36,-0.67,0.33
366.5,1.82,1.13,1.41
367,3.64,0.25,0.24
367.5,-0.67,0.21,-0.8
368,11.71,9.37,0.67
368.5,5.19,-4.14,-0.61
369,-2.53,1.32,-0.17
369.5,2.44,7.7,-2.25
370,-5.79,-2.11,-2.13
370.5,7.8,2.84,-0.47
371,12.52,1.58,-1.38
371.5,-3.26,-1.64,-0.69
372,-14.3,-9.75,0.68
372.5,-0.71,6.68,-1.66
373,-22.6,-2.65,-2.61
373.5,-1.89,1.88,0.13
374,-11.36,1.1,-1.68
374.5,5.01,2.25,1.35
375,2.44,-0.84,0.23
375.5,6.26,4.63,0.36
376,-0.01,-5.06,0.08
376.5,0.14,-5.19,1.44
377,-5.87,6.62,-2.48
377.5,-3.23,-6.66,0.65
378,8.89,2.69,-0.45
378.5,-0.15,5.33,-1.68
379,-0.06,6.64,-3.2
379.5,1.68,-16.09,0.67
380,2.95,19.87,-1.93
380.5,3.93,-0.39,0.16
381,-0.03,-3.35,0.35
381.5,1.77,-7.42,1.98
382,-4.95,0.85,3.71
382.5,3.3,4.59,-3.28
383,-1.64,-1.44,-7.13
383.5,-25.89,-7.51,2.57
384,18.11,1.92,-0.29
384.5,-22.08,-4.57,-4.66
385,3.89,-0.24,-3.11
385.5,9.05,-3.17,1.51
386,16.3,-2.21,5.64
386.5,-6.11,3.32,2.18
387,5.77,17.31,-9.91
387.5,7.74,-2.64,1.2
388,-18.73,4.6,-1.19
388.5,-7.39,-8.67,-4.01
389,10.24,-5.84,1.67
389.5,10.85,0.37,1.34
390,18.57,3.18,3.44
390.5,0.89,-17.29,0.16
391,0.77,6.44,-0.64
391.5,3.16,-1.93,1.02
392,2.1,-3.94,0.89
392.5,-6.48,-3.06,0.55
393,7.86,3.69,0.45
393.5,-1.21,-1.57,-0.82
394,-1.52,-3.17,-1.13
394.5,-1.47,-1.27,-0.98
395,-6.32,-16.45,0.68
395.5,-1.02,11.81,-1.85
396,10.03,0.44,4.68
396.5,1.02,1.99,2.73
397,-0.16,-8.46,-0.27
397.5,-10.79,1.26,-4.67
398,5.41,7.22,-1.77
398.5,0.2,-6.34,-3.49
399,21.05,-2.03,4.42
399.5,-6.06,1.03,-2.04
400,1.78,3.78,0.09
400.5,-12.5,-3.94,-4.08
401,-2.54,4.08,0.29
401.5,1.74,2.86,0.66
402,22.91,0.62,2.16
402.5,-4.62,7.48,-3.43
403,-4.84,5.57,2.43
403.5,-0.97,1.09,1.22
404,-4.24,-5.53,0.44
404.5,18.83,-7.56,1.75
405,-1.77,8.75,-1.34
405.5,-15.38,6.94,-3.36
406,2.07,4.92,0.28
406.5,-2.56,1.31,1.37
407,6.07,2.36,2.01
407.5,2.82,-4.88,-1.38
408,-3.3,4.43,-0.01
408.5,1.79,-2.96,-1.16
409,-0.1,-0.19,1.42
409.5,-4.92,-4.4,0.68
410,-3.88,1.56,-0.9
410.5,-0.98,-1.43,0.83
411,-2.51,-1.76,-0.6
411.5,0.08,-0.96,-1
412,9,-4.49,0.65
412.5,-3.63,2.31,-1.16
413,-0.81,4.03,-1.61
413.5,3.49,6.7,-1.76
414,-0.57,0.73,1.16
414.5,1.19,-6.02,0.67
415,-0.25,-2.22,0.96
415.5,14.9,-2.57,2.34
416,-1.77,1.18,1.52
416.5,-4.47,7.88,0.32
417,7.23,0.17,0.63
417.5,-4.6,-7.78,2.72
418,7.42,4.87,4.57
418.5,-7.19,9.23,3.98
419,2.52,0.26,5.74
419.5,3.33,-1.91,3.72
420,4.29,-2.48,4.35
420.5,0.54,-5.43,1.47
421,0.33,-1.77,1.8
421.5,-0.78,-8.36,0.81
422,4.5,-0.94,2.09
422.5,-0.2,-3.43,-0.64
423,1.05,1.18,-0.06
423.5,1.02,1.01,-1.01
424,-0.57,1.54,-1.49
424.5,0.36,-6.72,-5.56
